# https://en.wikipedia.org/wiki/Mobile_country_code
# PLMN;Country;Operator Name
20201;Greece;Cosmote
20202;Greece;Cosmote
20205;Greece;Vodafone
20209;Greece;NOVA
20210;Greece;NOVA
20402;Netherlands;Odido
20403;Netherlands;Enreach
20404;Netherlands;Vodafone
20407;Netherlands;Teleena
20408;Netherlands;KPN
20409;Netherlands;Lycamobile
20410;Netherlands;KPN
20412;Netherlands;Telfort
20415;Netherlands;Ziggo
20416;Netherlands;Odido
20418;Netherlands;Ziggo
20420;Netherlands;Odido
20427;Netherlands;L-mobi
20462;Netherlands;RGTN
20601;Belgium;Proximus
20603;Belgium;Citymesh Connect
20605;Belgium;Telenet
20606;Belgium;Lycamobile
20608;Belgium;VOO
20610;Belgium;Orange Belgium
20612;Belgium;DIGI BE
20620;Belgium;Base
20801;France;Orange
20802;France;Orange
20803;France;Sierra Wireless
20808;France;SFR
20809;France;SFR
20810;France;SFR
20811;France;SFR
20812;France;Truphone
20813;France;SFR
20814;France;SNCF Réseau
20815;France;Free
20816;France;Free
20820;France;Bouygues
20824;France;Sierra Wireless
20825;France;LycaMobile
20826;France;NRJ Mobile
20828;France;AIF
20835;France;Free
20836;France;Free
20888;France;Bouygues
21303;Andorra;Som, Mobiland
21401;Spain;Vodafone
21402;Spain;Cube Móvil
21403;Spain;Orange
21404;Spain;Yoigo
21405;Spain;Movistar
21406;Spain;Vodafone
21407;Spain;Movistar
21408;Spain;Euskaltel
21409;Spain;Orange
21416;Spain;TeleCable
21417;Spain;Móbil R
21419;Spain;Simyo
21422;Spain;DIGI mobil
21427;Spain;Truphone
21451;Spain;ADIF
21601;Hungary;Yettel Hungary
21603;Hungary;DIGI
21630;Hungary;Telekom
21670;Hungary;one
21671;Hungary;one
21699;Hungary;MAV GSM-R
21803;Bosnia and Herzegovina;HT-ERONET
21805;Bosnia and Herzegovina;m:tel
21890;Bosnia and Herzegovina;BH Mobile
21901;Croatia;HT HR
21910;Croatia;A1 HR
22001;Serbia;Yettel
22003;Serbia;mt:s
22005;Serbia;A1 SRB
22011;Serbia;Globaltel
22101;Kosovo;Vala
22102;Kosovo;IPKO
22107;Kosovo;D3 Mobile
22201;Italy;TIM
22206;Italy;Vodafone
22207;Italy;Kena Mobile
22208;Italy;Fastweb
22210;Italy;Vodafone
22230;Italy;RFI
22233;Italy;PosteMobile
22234;Italy;BT Mobile
22235;Italy;Lycamobile
22236;Italy;Digi Mobil
22238;Italy;Linkem
22241;Italy;GO Internet
22243;Italy;TIM
22247;Italy;Fastweb
22250;Italy;Iliad
22253;Italy;CoopVoce
22254;Italy;Plintron
22256;Italy;spusu
22288;Italy;Wind Tre
22299;Italy;Wind Tre
22601;Romania;Vodafone
22603;Romania;Telekom
22605;Romania;Digi.Mobil
22610;Romania;Orange
22801;Switzerland;Swisscom
22802;Switzerland;Sunrise
22803;Switzerland;Salt
22806;Switzerland;SBB-CFF-FFS
22808;Switzerland;Tele4u
22853;Switzerland;upc cablecom
22854;Switzerland;Lycamobile
22858;Switzerland;beeone
22863;Switzerland;FTS
22873;Switzerland;iWay
22874;Switzerland;net+
23001;Czech Republic;T-Mobile
23002;Czech Republic;O2
23003;Czech Republic;Vodafone
23007;Czech Republic;T-Mobile
23101;Slovakia;Orange
23102;Slovakia;Telekom
23103;Slovakia;4ka
23104;Slovakia;Telekom
23105;Slovakia;Orange
23106;Slovakia;O2
23199;Slovakia;ŽSR
23201;Austria;A1.net
23203;Austria;Magenta
23205;Austria;3
23207;Austria;Hofer Telekom
23208;Austria;Lycamobile
23209;Austria;Tele2Mobil
23210;Austria;3
23211;Austria;bob
23212;Austria;yesss!
23213;Austria;Magenta
23217;Austria;spusu
23220;Austria;m:tel
23291;Austria;GSM-R A
23292;Austria;ArgoNET
23400;United Kingdom;BT
23401;United Kingdom;Vectone Mobile
23402;United Kingdom;O2 (UK)
23403;United Kingdom;Airtel-Vodafone
23408;United Kingdom;BT OnePhone
23410;United Kingdom;O2 (UK)
23411;United Kingdom;O2 (UK)
23412;United Kingdom;Railtrack
23413;United Kingdom;Railtrack
23415;United Kingdom;Vodafone UK
23416;United Kingdom;Talk Talk
23418;United Kingdom;Cloud9
23419;United Kingdom;PMN
23420;United Kingdom;3
23424;United Kingdom;Greenfone
23425;United Kingdom;Truphone
23426;United Kingdom;Lycamobile
23427;United Kingdom;Teleena
23430;United Kingdom;EE
23433;United Kingdom;EE
23434;United Kingdom;EE
23436;United Kingdom;Sure Mobile
23440;United Kingdom;spusu
23450;United Kingdom;JT
23451;United Kingdom;Relish
23453;United Kingdom;Tango Extend
23454;United Kingdom;iD Mobile
23455;United Kingdom;Sure Mobile
23458;United Kingdom;Pronto GSM
23472;United Kingdom;Hanhaa Mobile
23476;United Kingdom;BT
23478;United Kingdom;Airwave
23488;United Kingdom;telet
23588;United Kingdom;telet
23801;Denmark;TDC
23802;Denmark;Telenor
23805;Denmark;TetraNet
23806;Denmark;3
23808;Denmark;Voxbone
23809;Denmark;SINE
23810;Denmark;TDC
23811;Denmark;SINE
23812;Denmark;Lycamobile
23815;Denmark;Net 1
23820;Denmark;Telia
23823;Denmark;GSM-R DK
23842;Denmark;Wavely
23873;Denmark;Onomondo
24001;Sweden;Telia
24002;Sweden;3
24003;Sweden;Net 1
24004;Sweden;SWEDEN
24005;Sweden;Sweden 3G
24006;Sweden;Telenor
24007;Sweden;Tele2
24010;Sweden;Spring Mobil
24012;Sweden;Lycamobile
24017;Sweden;Gotanet
24021;Sweden;MobiSir
24024;Sweden;Sweden 2G
24038;Sweden;Voxbone
24201;Norway;Telenor
24202;Norway;Telia
24205;Norway;OneCall / MyCall
24206;Norway;ice
24208;Norway;Telia
24209;Norway;Com4
24214;Norway;ice
24223;Norway;Lycamobile
24405;Finland;Elisa
24407;Finland;Nokia
24412;Finland;DNA
24414;Finland;Ålcom
24421;Finland;Elisa-
24426;Finland;Compatel
24433;Finland;VIRVE
24436;Finland;Telia
24491;Finland;Telia
24601;Lithuania;Telia
24602;Lithuania;BITĖ
24603;Lithuania;Tele2
24605;Lithuania;LitRail
24606;Lithuania;Mediafon
24701;Latvia;LMT
24702;Latvia;Tele2
24703;Latvia;TRIATEL
24705;Latvia;Bite
24708;Latvia;VMT
24709;Latvia;Xomobile
24801;Estonia;Telia
24802;Estonia;Elisa
24803;Estonia;Tele2
24804;Estonia;Top Connect
24805;Estonia;CSC Telecom
24816;Estonia;dzinga
25001;Russian Federation;MTS
